Date,Message
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:45,25772.75,25773,25756.5,25761.25,2023"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:50,25762,25765.5,25753.75,25760.25,1603"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:55,25760.25,25762.75,25747.75,25749.75,1448"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:00,25749.25,25766.75,25747.75,25754,3312"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:05,25755,25767.5,25753.75,25765.75,1853"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:10,25766,25777.5,25761.25,25775.75,1979"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:15,25776,25780.5,25771,25779,1524"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:20,25778.5,25779.25,25769.75,25777,1475"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:25,25777.25,25787,25776,25787,1887"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:30,25786.5,25797.5,25777,25797.25,2384"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:35,25796.75,25801,25788.75,25795.25,2022"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:40,25795.5,25803,25793,25800.5,1452"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:45,25800.75,25801.75,25781.75,25782.5,1991"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:50,25782.75,25790.5,25780,25787,1416"
2026-01-16T16:55:00.000-05:00,"2026-01-08 08:55,25787.25,25790.75,25778.75,25780,1068"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:00,25780.5,25795.5,25772,25790,2781"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:05,25790,25791.5,25780.5,25782,1308"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:10,25783,25790.25,25780.5,25783.5,777"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:15,25784.25,25784.25,25763,25769.25,2390"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:20,25768.5,25777,25762,25776,1891"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:25,25776.5,25779.5,25769.25,25771,905"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:30,25770.75,25772.75,25766,25771.75,999"
2026-01-16T16:55:00.000-05:00,"2026-01-08 09:35,25771.75,25773.5,25757,25757.5,1874"
